,",",the,.,of,and,a,to,;,in,that,',-,his,it,I,s,is,he,with,was,as,"""",all,for,this
",",2.63E-05,0.023902182,2.63E-05,0.001656587,0.068577439,0.005101236,0.005916382,2.63E-05,0.010596897,0.015382593,0.000815146,2.63E-05,0.002024717,0.006284512,0.012148304,2.63E-05,0.003786484,0.011753879,0.006863003,0.003497239,0.013778596,0.004733105,0.002866158,0.004785696,0.002813568
the,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,6.05E-05,3.03E-05,3.03E-05,0.000121073,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,3.03E-05,6.05E-05,0.000423754,0.000151341,3.03E-05,3.03E-05
.,3.82E-05,0.000305588,3.82E-05,0.00026739,0.000114596,7.64E-05,3.82E-05,3.82E-05,0.000114596,7.64E-05,0.001222354,3.82E-05,7.64E-05,3.82E-05,0.009969823,3.82E-05,3.82E-05,3.82E-05,3.82E-05,3.82E-05,3.82E-05,0.021314794,3.82E-05,3.82E-05,3.82E-05
of,0.000734924,0.071481066,0.000270762,3.87E-05,3.87E-05,0.012687116,7.74E-05,0.000232081,0.000193401,0.00502843,0.000309442,0.000928326,0.014389046,0.003674622,3.87E-05,3.87E-05,3.87E-05,3.87E-05,3.87E-05,3.87E-05,0.000154721,0.000309442,0.005144471,3.87E-05,0.005144471
and,0.002841245,0.014127304,3.95E-05,0.000473541,3.95E-05,0.004182945,0.001104929,3.95E-05,0.003314786,0.002762322,0.000118385,0.000591926,0.001736317,0.000868158,0.003038554,3.95E-05,0.000552464,0.001973087,0.003117478,0.000749773,0.001933625,0.00023677,0.003235863,0.001065467,0.001302237
a,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,0.000460521,0.000711714,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,0.000209328,4.19E-05,4.19E-05,4.19E-05
to,0.001173561,0.029883901,0.000712519,4.19E-05,0.000712519,0.004694245,4.19E-05,0.000167652,4.19E-05,0.002221384,0.00029339,0.00100591,0.00590972,0.002556687,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,4.19E-05,8.38E-05,0.000209565,0.001466952,8.38E-05,0.001886081
;,4.28E-05,0.009705417,4.28E-05,0.000299286,0.036512891,0.002308778,0.000641327,4.28E-05,0.002308778,0.003206636,0.000427551,4.28E-05,0.001239899,0.002437043,0.004147249,4.28E-05,0.000299286,0.003847963,0.000641327,0.000128265,0.001881226,0.002522553,0.001838471,0.005344393,0.001453675
in,0.001506478,0.048250334,0.000516507,4.30E-05,0.000215211,0.010373176,0.000215211,0.000301296,4.30E-05,0.004519434,4.30E-05,0.000258253,0.010932725,0.001807773,4.30E-05,4.30E-05,8.61E-05,4.30E-05,0.000258253,4.30E-05,0.000129127,4.30E-05,0.003443378,0.000172169,0.005251151
that,0.004484506,0.009686533,0.000941746,0.001659267,4.48E-05,0.001435042,0.000762366,0.000627831,0.003049464,0.000538141,0.003183999,4.48E-05,0.001210817,0.002331943,0.003497915,4.48E-05,0.00345307,0.004439661,0.000493296,0.000896901,0.000538141,8.97E-05,0.001121127,0.001210817,0.002242253
',4.55E-05,0.00018181,4.55E-05,9.09E-05,0.000136357,9.09E-05,9.09E-05,4.55E-05,4.55E-05,9.09E-05,4.55E-05,4.55E-05,0.000136357,9.09E-05,0.00036362,0.078996409,4.55E-05,4.55E-05,4.55E-05,4.55E-05,4.55E-05,4.55E-05,9.09E-05,4.55E-05,4.55E-05
-,4.57E-05,0.000182907,4.57E-05,0.001097444,0.000685902,0.00013718,0.000274361,4.57E-05,0.000320088,4.57E-05,4.57E-05,4.57E-05,4.57E-05,4.57E-05,4.57E-05,9.15E-05,4.57E-05,4.57E-05,4.57E-05,4.57E-05,4.57E-05,4.57E-05,9.15E-05,4.57E-05,4.57E-05
his,0.000734754,4.59E-05,0.000321455,4.59E-05,4.59E-05,4.59E-05,9.18E-05,0.000367377,4.59E-05,4.59E-05,9.18E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,4.59E-05,0.000137766,4.59E-05,4.59E-05,9.18E-05,4.59E-05,9.18E-05,4.59E-05,4.59E-05,4.59E-05
it,0.010917031,0.000371644,0.007990337,0.000232277,9.29E-05,0.00051101,0.00204404,0.004227446,0.001486574,0.000557465,0.003251881,4.65E-05,0.000139366,4.65E-05,0.000232277,4.65E-05,0.009244634,9.29E-05,0.001161386,0.009151723,0.00051101,4.65E-05,0.000836198,0.00102202,4.65E-05
I,0.003917728,0.000279838,0.001445828,4.66E-05,0.000139919,0.000139919,0.000373117,0.000326477,9.33E-05,0.000139919,0.006296348,4.66E-05,4.66E-05,9.33E-05,4.66E-05,9.33E-05,4.66E-05,4.66E-05,9.33E-05,0.003917728,0.000139919,4.66E-05,4.66E-05,4.66E-05,4.66E-05
s,0.001424772,0.003466945,0.000617401,4.75E-05,0.000332447,0.003514438,0.000332447,0.000474924,0.000474924,0.00118731,9.50E-05,0.000332447,0.000474924,0.000332447,9.50E-05,4.75E-05,0.000142477,0.000332447,4.75E-05,0.000142477,4.75E-05,4.75E-05,0.001044833,9.50E-05,0.000284954
is,0.004664002,0.006615267,0.000428327,0.000713878,4.76E-05,0.005520655,0.001951266,0.00052351,0.001427756,0.001618123,4.76E-05,4.76E-05,0.000856653,0.002332001,0.000142776,4.76E-05,4.76E-05,0.000333143,4.76E-05,4.76E-05,0.000809061,4.76E-05,0.001047021,0.000190367,0.001760899
he,0.000858042,0.000190676,0.000333683,4.77E-05,0.000381352,9.53E-05,9.53E-05,0.000190676,0.000286014,9.53E-05,0.004576223,4.77E-05,4.77E-05,4.77E-05,4.77E-05,4.77E-05,0.001763753,4.77E-05,4.77E-05,0.005481933,4.77E-05,4.77E-05,0.000143007,9.53E-05,9.53E-05
with,0.000381388,0.014731121,0.000286041,4.77E-05,4.77E-05,0.011155606,4.77E-05,4.77E-05,0.000143021,0.001239512,4.77E-05,4.77E-05,0.005339436,0.001668574,4.77E-05,4.77E-05,4.77E-05,4.77E-05,4.77E-05,4.77E-05,4.77E-05,0.000143021,0.002145309,4.77E-05,0.000667429
